poi_id,name,category,lat,lon,address
goong_mgysrAWaqCd9u1MVsGW0n02ESzecaunzS6tqFKdRiZ9z32MJerQ64wH2qbVetDZrKZ4ABRyMPhuNzpmmqPHio0meqQz5-U6DeqrpMtn5qmvN_s1-SeqxYgH2KV5oMDeHa,Bệnh viện Sản Nhi Long An,hospital,10.520212851000053,106.42059045200006,"Bệnh viện Sản Nhi Long An, 136C Tỉnh Lộ 827A, Phường 7, Tân An, Long An"
goong_Qan-6Lv3pU5zU3gltXScd3O2n1KnkpdwR6RKVqZeuZNG0TgYvGXskHO2cDqSAJv_d75eoRddLu5quVGOklui1UeIOFK9Z-laRc7fcVZdnl0FyjVIBoQGHl3ClWiqXAOzX,Bệnh viện Đa khoa Cù Lao Minh,hospital,10.121814947000075,106.31385398700007,"Bệnh viện Đa khoa Cù Lao Minh, Quốc Lộ 57, Tân Hội, Mỏ Cày Nam, Bến Tre"
goong_bLdcbnp6e5aokEtdmX_l1mOsbV-ZfobBfLJtHLcLnux-hkhYmwnh6nuAW1qvb7zeedtuHqh9kpx3vXk-rnGO4KjbQ1NjJ-3HsqwdC36enve-hFIsISAiOnnmsUyOeCeXe,Bệnh viện Đa khoa Tân Phước,hospital,10.475537638000048,106.19206401600007,"Bệnh viện Đa khoa Tân Phước, Tỉnh Lộ 865, Mỹ Phước, Tân Phước, Tiền Giang"
goong_FrJ-aayAYKtSmSoggcaA6GlhXmSqYrLFTcRGabdKjOE5x0VNiHCuqTSsdzHfcqufYqNJBL1Lqch9mm8PgBahglCfewGpcvuEZKBWQoBwgOllmkUWthaQgGe2CTT2yF_vA,Bệnh viện Đa khoa Thủ Thừa,hospital,10.60511817400004,106.40618278100004,"Bệnh viện Đa khoa Thủ Thừa, Thủ Thừa, Thủ Thừa, Long An"
goong_FymYqYc3RXd8up0qprF7f0i5-F0hk5hBTqucfFlRtjeo3tC0s2rjSXpJ8LidD5RReIHhGK1Stl5lrnKhcqtrnVEid012yaOZOfLjxWphomF19gpgOkA6Irn-q2CVVD-NV,Bệnh viện Mắt Tiền Giang,hospital,10.362289782000062,106.36493473200005,"Bệnh viện Mắt Tiền Giang, 44 Phan Hiển Đạo, Phường 7, Mỹ Tho, Tiền Giang"
goong_ddsEUHWgBFhEikcQpAa87kOiRFegmrRZcLFLKqVfir5z-88rpUeovm5yOCCXo7eTdgRPJpJfnpZsnEBWoXKS23OuTyuXX42XdrJEUZK7YvukiFcEd5KCkqSgXy-USBenS,Bệnh viện Y học Cổ truyền Tiền Giang,hospital,10.356116846000077,106.36554209500008,"Bệnh viện Y học Cổ truyền Tiền Giang, 3 Thủ Khoa Huân, Phường 1, Mỹ Tho, Tiền Giang"
goong_vF3MRm9weaVOkmNMYaJHRmqFiBCi8fRaW5VWC7sch8tvukVNunqDiG7ynay-gXsDgaZV0SLUeh9Fsub1JcECLjHe5p06iQofPb7irSYt7i-JukTJOvR2bi2y5HTaLHPDL,Bệnh viện Đa khoa huyện Châu Thành,hospital,10.304329233000033,106.35968980900009,"Bệnh viện Đa khoa huyện Châu Thành, Quốc Lộ 60, Châu Thành, Châu Thành, Bến Tre"
goong_H4AXpFVF-7hvqUEHonehjV-WWSWOe4KbhWbl4BrVDm41hzb5McByliG_Nv2y5eojYJZJVdbgdlPFhtHsuNWq6wHW-USy4QbLMbKheSoh4iOFtkk0evh6YiG8xaLqIRfPI,Bệnh viện Đa khoa Vĩnh Kim,hospital,10.360069434000025,106.24617257600005,"Bệnh viện Đa khoa Vĩnh Kim, Tỉnh Lộ 876, Bình Trưng, Châu Thành, Tiền Giang"
goong_VM9EDGKkDaJCjVugsrtRvnb0aaiacFOhb4xPoI1eEfJDjF-ouWAfkGxyR7uXsI7tcE9DiqdeVvtv1Ha3lAdVl1--QrSVfVDwdrJEkpJiBPt3UiFeCpAQvknWgX-mSBSvS,Bệnh viện Đa khoa Minh Đức,hospital,10.23967680800007,106.36734499900007,"Bệnh viện Đa khoa Minh Đức, 333D Đoàn Hoàng Minh, Phường 5, Bến Tre, Bến Tre"
goong_7KlIP4VMeIJgwUxHsEiN96ymdDmvYm_np8MjBrVJncNspmVGgC-J7VWbWASudKONYsJcPLsTs4ZSi1wrlUi2-mSLWBmsEIZhhKVTR4V1hWFgn0ATsx9OVhWK3SDiFEv7F,Bệnh viện TWG Long An,hospital,10.519976727000028,106.42103546800007,"Bệnh viện TWG Long An, 136C Tỉnh Lộ 827A, Phường 7, Tân An, Long An"
goong_kadSvT_4YFpDiDYfpwarznOxag8suGGSeKKnJWqemZVBjr0UuFyz2WywN1yvYJ3lR48tQ5dx7tRBoVg2o5maXEetSCl12JFxorFHU3XtkWF0i1QHpweBkXYoXKORTBurR,Chợ,market,10.4540741,106.4053811,"Chợ, An Khương - An Thọ, Chợ Gạo, Tiền Giang"
goong_SgNReL2XTlZWn66rrWVngo8ynLSAaEp5haVSKLk-sf16pHtol0W572OmIUOuErn4YLZSRbF2oYBtp3xEgHX5zHmlYxm1S67PWqdjRYd3h-5inUIRsRGXh2CB1SjqHEPzH,chợ gạo,market,10.3765284,106.3438891,"chợ gạo, Phường 10, Chợ Gạo, Tiền Giang"
goong_6hiRg1c0KqnpdvFB1zRGKanSLgvaKBJp9bqZHablIhs1tz1RHjyRuj4aUfXugSWz5R5Smabw2lsxEW6tAuRS40HejcUG7SM_zbppceoociuNvkE8cvDeaim24Rx2KM_HK,Chợ Cũ Mỹ Tho,market,10.3570258,106.3756629,"Chợ Cũ Mỹ Tho, Nguyễn Huỳnh Đức, Phường 8, Mỹ Tho, Tiền Giang"
goong_meOIq8jeZaSfh2MgnkV4mbaAXTyYU2bdgLt_KrINZZyiIUW0rmpI8KKGQVVqxVLF4vdBjFn8dSXeEgUEXpVR6rrqHNh75DnymmLhOWphoVfFdgn0Org60mKp_VSWYD3zY,Chợ Gạo,market,10.367773794500067,106.43061385550004,"Chợ Gạo, Đồng Tháp"
goong_vmevYpxRm15NUYQptn6HmWJzVGRibUYyeTb5JM6JzjOZhv2BeomOmmXi_c5SbVqK1e62w46ptHLoleLx2m27i10lfQQKuULXUeLxKXpxsnKp5hnwK9VmMqnuuCiGcC-fc,Chợ Gạo,market,10.353662,106.463403,"Chợ Gạo, tt. Chợ Gạo, Chợ Gạo, Tiền Giang"
goong_tX6hrXDVn151t2CSvnUlN3FzOc2WZrEwpH1gl5B3lHdGpXgAoDO5N6GOWuhAZ4stpo1ClKW-Axi7aWfgvpitUNHQa5WRW5RVc7dB_lpnlwFyjZeXURgGHKnClWteXAOwu,Huyện Chợ Gạo,market,10.350069542000028,106.46322533200004,"Huyện Chợ Gạo, Tiền Giang"
